title,price,price_raw,location,link,scraped_at,source
"Online payments available, 1 BD, In Dallas",700,$700,"14018 Brookgreen Drive, Dallas, TX",https://dallas.craigslist.org/ndf/apa/d/dallas-online-payments-available-bd-in/7925484335.html,2026-04-18T05:46:47.048406,craigslist
"Washer and Dryer Connections, Spacious Closets, Soaking Tubs",1165,"$1,165","2801 Turnberry Dr, Arlington, TX",https://dallas.craigslist.org/mdf/apa/d/arlington-washer-and-dryer-connections/7921527569.html,2026-04-18T05:46:47.048445,craigslist
"Elevator, Copy and Fax Services, Package Receiving",291,$291,north DFW,https://dallas.craigslist.org/ndf/apa/d/dallas-elevator-copy-and-fax-services/7927552905.html,2026-04-18T05:46:47.048486,craigslist
"Flexible Apartment Living, Without the Hassle!",1399,"$1,399","4505 N Interstate 35, Denton, TX",https://dallas.craigslist.org/ndf/apa/d/denton-flexible-apartment-living/7926250335.html,2026-04-18T05:46:47.048525,craigslist
STOP SCROLLING — Move-In Specials + FREE $20 Gas Card!,865,$865,"3130 Lombardy Ln, Dallas, TX",https://dallas.craigslist.org/ndf/apa/d/dallas-stop-scrolling-move-in-specials/7928496691.html,2026-04-18T05:46:47.048561,craigslist
"Resident Referral Program, Spacious Closets, Woodburning Fireplace",1040,"$1,040","2700 Martin Dr, Bedford, TX",https://dallas.craigslist.org/mdf/apa/d/bedford-resident-referral-program/7922607780.html,2026-04-18T05:46:47.048597,craigslist
"Laundry Facilities, Efficient Appliances, Refrigerator",920,$920,"4328 Duck Creek Dr, Garland, TX",https://dallas.craigslist.org/mdf/apa/d/garland-laundry-facilities-efficient/7926709129.html,2026-04-18T05:46:47.048632,craigslist
"Close to Downtown Dallas, Modern Finishes, Walk-in Rain Shower",1310,"$1,310","4211 San Jacinto St, Dallas, TX",https://dallas.craigslist.org/dal/apa/d/dallas-close-to-downtown-dallas-modern/7927812997.html,2026-04-18T05:46:47.048666,craigslist
1st month $599,1445,"$1,445","2333 Escalante Ave, Fort Worth, TX",https://dallas.craigslist.org/ftw/apa/d/fort-worth-1st-month-599/7927603548.html,2026-04-18T05:46:47.048702,craigslist
Available Now! Beautiful 1BR – Act Fast,999,$999,The Link Apartments,https://dallas.craigslist.org/dal/apa/d/dallas-available-now-beautiful-1br-act/7922012683.html,2026-04-18T05:46:47.048737,craigslist
"Playground, Short Term Lease, Laundry Facilities",909,$909,"9050 Markville Drive, Dallas, TX",https://dallas.craigslist.org/dal/apa/d/dallas-playground-short-term-lease/7922423627.html,2026-04-18T05:46:47.048777,craigslist
"EV Charging, Early Check-in Available, Dogs Welcome",1699,"$1,699","9020 Rasor Boulevard, Plano, TX",https://dallas.craigslist.org/ndf/apa/d/plano-ev-charging-early-check-in/7921216905.html,2026-04-18T05:46:47.048814,craigslist
"Tile backsplash, Walk-in closet, Spacious floorplans",775,$775,"2501 Webb Chapel Ext, Dallas, TX",https://dallas.craigslist.org/ndf/apa/d/dallas-tile-backsplash-walk-in-closet/7922790063.html,2026-04-18T05:46:47.048850,craigslist
"Situated in Dallas!, 1bd 1ba, Open-concept",1040,"$1,040","14000 Esperanza Road, Dallas, TX",https://dallas.craigslist.org/ndf/apa/d/dallas-situated-in-dallas-1bd-1ba-open/7925039705.html,2026-04-18T05:46:47.048887,craigslist
EXCEPTIONAL LIVING + UP TO 8 WEEKS FREE,1452,"$1,452",NORTH FORT WORTH,https://dallas.craigslist.org/ftw/apa/d/keller-exceptional-living-up-to-weeks/7928493197.html,2026-04-18T05:46:47.048929,craigslist
Taking Dynamic Living to the Next Level + Up to 4 WEEKS FREE,1879,"$1,879",Plano,https://dallas.craigslist.org/ndf/apa/d/plano-taking-dynamic-living-to-the-next/7928492070.html,2026-04-18T05:46:47.048997,craigslist
Taking Dynamic Living to the Next Level,2046,"$2,046",Plano,https://dallas.craigslist.org/ndf/apa/d/plano-taking-dynamic-living-to-the-next/7928492920.html,2026-04-18T05:46:47.049043,craigslist
899! Move In Special! Come visit us Today!,1590,"$1,590","11457 Dennis Rd, Dallas, TX",https://dallas.craigslist.org/dal/apa/d/dallas-899-move-in-special-come-visit/7923770514.html,2026-04-18T05:46:47.049144,craigslist
"2 bed 2 bath, $1149, 1050 Sq Ft, $99 FIRST MONTH RENT SPECIAL",1149,"$1,149",fort worth,https://dallas.craigslist.org/ftw/apa/d/fort-worth-bed-bath-sq-ft-99-first/7925471742.html,2026-04-18T05:46:47.049186,craigslist
Newly Remodeled 4 Bed 2 Bath Home in Stephenville,2000,"$2,000",fort worth,https://dallas.craigslist.org/ftw/apa/d/stephenville-newly-remodeled-bed-bath/7928494127.html,2026-04-18T05:46:47.049227,craigslist
Tranquility. Comfort. Convenience. + Plano ISD + 2 Car Garage,2019,"$2,019",Dallas,https://dallas.craigslist.org/ndf/apa/d/dallas-tranquility-comfort-convenience/7928491718.html,2026-04-18T05:46:47.049264,craigslist
Distinctly Yours ~ Amenities Galore ~ Near Downtown ~ Up to 6 Wks FREE,1975,"$1,975",Central Fort Worth,https://dallas.craigslist.org/ftw/apa/d/fort-worth-distinctly-yours-amenities/7920804752.html,2026-04-18T05:46:47.049353,craigslist
Phenomenal Location ~ Easy Access to Downtown ~ Month FREE,1517,"$1,517",Deep Ellum,https://dallas.craigslist.org/dal/apa/d/dallas-phenomenal-location-easy-access/7919956971.html,2026-04-18T05:46:47.049393,craigslist
MODERN SOPHISTICATION ~ BRAND NEW W/ 10 WEEKS FREE! PARKING GARAGE,1750,"$1,750",West Lewisville/ Flower Mound,https://dallas.craigslist.org/ndf/apa/d/the-colony-modern-sophistication-brand/7926960952.html,2026-04-18T05:46:47.049431,craigslist
UP TO 6 WKS FREE! RESORT INSPIRED LIVING AT AN AMAZING PRICE,2597,"$2,597",Central Fort Worth,https://dallas.craigslist.org/ftw/apa/d/fort-worth-up-to-wks-free-resort/7925526993.html,2026-04-18T05:46:47.049470,craigslist
LUXURY SECOND CHANCE APARTMENT,2022,"$2,022",MCKINNEY,https://dallas.craigslist.org/ndf/apa/d/mckinney-luxury-second-chance-apartment/7925504164.html,2026-04-18T05:46:47.049507,craigslist
EMBRACE EXCEPTIONAL TOWNHOME LIVING! UP TO 6 WKS FREE,3340,"$3,340",Downtown Ft Worth/ TCU,https://dallas.craigslist.org/ftw/apa/d/fort-worth-embrace-exceptional-townhome/7926960727.html,2026-04-18T05:46:47.049544,craigslist
"Snazzy, Brand New w/ up to 10 Weeks FREE ~ Credit Issues -OK",1495,"$1,495",Lewisville,https://dallas.craigslist.org/ndf/apa/d/lewisville-snazzy-brand-new-up-to-10/7919958133.html,2026-04-18T05:46:47.049581,craigslist
Life from a New View ~ Up to 6 WKS FREE!,1296,"$1,296",Downtown Ft Worth/ TCU,https://dallas.craigslist.org/ftw/apa/d/fort-worth-life-from-new-view-up-to-wks/7925526729.html,2026-04-18T05:46:47.049622,craigslist
"Near Shopping, Dining & Entertainment! Up to 6 WKS FREE!",1610,"$1,610",Downtown Ft Worth/ TCU,https://dallas.craigslist.org/ftw/apa/d/fort-worth-near-shopping-dining/7925503857.html,2026-04-18T05:46:47.049659,craigslist
Phenomenal Second Chance Luxury Apt ~ Month FREE,1236,"$1,236",MCKINNEY,https://dallas.craigslist.org/ndf/apa/d/mckinney-phenomenal-second-chance/7926961291.html,2026-04-18T05:46:47.049695,craigslist
Superb Community Amenities ~ Second Chance ~ Month FREE,1904,"$1,904",MCKINNEY,https://dallas.craigslist.org/ndf/apa/d/mckinney-superb-community-amenities/7926960390.html,2026-04-18T05:46:47.049732,craigslist
RESORT INSPIRED LIVING AT AN AMAZING PRICE ~ 6 WKS FREE,2328,"$2,328",Central Fort Worth,https://dallas.craigslist.org/ftw/apa/d/fort-worth-resort-inspired-living-at-an/7925527201.html,2026-04-18T05:46:47.049768,craigslist
Luxury w/ Modern Convenience,1755,"$1,755",FRISCO,https://dallas.craigslist.org/ndf/apa/d/frisco-luxury-modern-convenience/7925527040.html,2026-04-18T05:46:47.049806,craigslist
BRAND NEW W/ 10 WKS FREE ~ TOWNHOME 2 ATT GAR,2736,"$2,736",MCKINNEY,https://dallas.craigslist.org/ndf/apa/d/mckinney-brand-new-10-wks-free-townhome/7926960193.html,2026-04-18T05:46:47.049842,craigslist
"Shopping, Dining & Entertainment! Second Chance Leasing ~ 6 Weeks FREE",1520,"$1,520",Downtown Ft Worth/ TCU,https://dallas.craigslist.org/ftw/apa/d/fort-worth-shopping-dining/7925504365.html,2026-04-18T05:46:47.049907,craigslist
2018 - Live Beyond Your Expectations!,1155,"$1,155",FRISCO,https://dallas.craigslist.org/ndf/apa/d/frisco-live-beyond-your-expectations/7926959545.html,2026-04-18T05:46:47.049951,craigslist
Luxury Second Chance Apartment ~ Amenities Galore,1358,"$1,358",MCKINNEY,https://dallas.craigslist.org/ndf/apa/d/mckinney-luxury-second-chance-apartment/7925504083.html,2026-04-18T05:46:47.049991,craigslist
EMBRACE EXCEPTIONAL LUXURY LIVING! UP TO 6 WKS FREE,2499,"$2,499",Downtown Ft Worth/ TCU,https://dallas.craigslist.org/ftw/apa/d/fort-worth-embrace-exceptional-luxury/7925526921.html,2026-04-18T05:46:47.050028,craigslist
Live Beyond Your Expectations!,1095,"$1,095",FRISCO,https://dallas.craigslist.org/ndf/apa/d/frisco-live-beyond-your-expectations/7925504411.html,2026-04-18T05:46:47.050068,craigslist
LUXURY SECOND CHANCE COMMUNITY!,1743,"$1,743",MCKINNEY,https://dallas.craigslist.org/ndf/apa/d/mckinney-luxury-second-chance-community/7926961176.html,2026-04-18T05:46:47.050105,craigslist
Urban Elegance in a Highly Sought-After Spot! Up to 10 WEEKS FREE!,1660,"$1,660",West Lewisville/ Flower Mound,https://dallas.craigslist.org/ndf/apa/d/the-colony-urban-elegance-in-highly/7926959801.html,2026-04-18T05:46:47.050141,craigslist
The Art of Exceptional Living,1455,"$1,455",FRISCO,https://dallas.craigslist.org/ndf/apa/d/frisco-the-art-of-exceptional-living/7925526838.html,2026-04-18T05:46:47.050179,craigslist
"Situated in Bedford!, Picnic Area with BBQ Grills, 1/BD 1/BA",1125,"$1,125","bedford,TX",https://dallas.craigslist.org/mdf/apa/d/bedford-situated-in-bedford-picnic-area/7921165796.html,2026-04-18T05:46:47.050214,craigslist
EMBRACE EXCEPTIONAL LIVING! Up to 6 WKS FREE,1841,"$1,841",Downtown Ft Worth/ TCU,https://dallas.craigslist.org/ftw/apa/d/fort-worth-embrace-exceptional-living/7925527104.html,2026-04-18T05:46:47.050251,craigslist
Step Up to a New Standard of Living ~ Second Chance Luxury ~Month FREE,1358,"$1,358",MCKINNEY,https://dallas.craigslist.org/ndf/apa/d/mckinney-step-up-to-new-standard-of/7926960516.html,2026-04-18T05:46:47.050288,craigslist
Month FREE! Step Up to a New Standard of Living~Second Chance Leasing,1179,"$1,179",MCKINNEY,https://dallas.craigslist.org/ndf/apa/d/mckinney-month-free-step-up-to-new/7925504311.html,2026-04-18T05:46:47.050323,craigslist
Beyond Luxury: A Lifestyle Redefined -Up to 6 WEEKS FREE,1640,"$1,640",Downtown Ft Worth/ TCU,https://dallas.craigslist.org/ftw/apa/d/fort-worth-beyond-luxury-lifestyle/7925526601.html,2026-04-18T05:46:47.050360,craigslist
Discover the elevated lifestyle you deserve,1215,"$1,215",FRISCO,https://dallas.craigslist.org/ndf/apa/d/frisco-discover-the-elevated-lifestyle/7925526325.html,2026-04-18T05:46:47.050402,craigslist
LUXURY SECOND CHANCE COMMUNITY! AMENITIES GALORE!,1664,"$1,664",MCKINNEY,https://dallas.craigslist.org/ndf/apa/d/mckinney-luxury-second-chance-community/7926942720.html,2026-04-18T05:46:47.050439,craigslist
"A must see within walking distance of DART, grocery stores, parks, fas",1490,"$1,490",north DFW,https://dallas.craigslist.org/ndf/apa/d/plano-must-see-within-walking-distance/7928493510.html,2026-04-18T05:46:47.050477,craigslist
"Cozy 1 Bed 1 Bath Room w/ Game room in Denton, TX - $700/mo",700,$700,north DFW,https://dallas.craigslist.org/ndf/apa/d/denton-cozy-bed-bath-room-game-room-in/7928493375.html,2026-04-18T05:46:47.050514,craigslist
"Sleek, Trendy W/ Modern Finishes",3690,"$3,690",Uptown Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-sleek-trendy-modern-finishes/7928493006.html,2026-04-18T05:46:47.050550,craigslist
Boutique Apartment Community ~ up to 4 WEEKS FREE!,2150,"$2,150",Grapevine/ Roanoke/ Keller,https://dallas.craigslist.org/ftw/apa/d/roanoke-boutique-apartment-community-up/7928492945.html,2026-04-18T05:46:47.050589,craigslist
"1 BD, Dallas TX, Highland Lake",1075,"$1,075",The Link Apartments,https://dallas.craigslist.org/dal/apa/d/dallas-bd-dallas-tx-highland-lake/7927534089.html,2026-04-18T05:46:47.050628,craigslist
LAKESIDE LIVING! LOCATION! LOCATION! LOCATION!,1499,"$1,499",North Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-lakeside-living-location/7928492844.html,2026-04-18T05:46:47.050663,craigslist
Modern Single Unit in,1490,"$1,490",north DFW,https://dallas.craigslist.org/ndf/apa/d/plano-modern-single-unit-in/7928493119.html,2026-04-18T05:46:47.050697,craigslist
ONE-OF-A-KIND COMMUNITY! UP TO 6WEEKS FREE!,2496,"$2,496",THE COLONY,https://dallas.craigslist.org/ndf/apa/d/the-colony-one-of-kind-community-up-to/7928492827.html,2026-04-18T05:46:47.050731,craigslist
EXCEPTIONAL ELEVATED LIVING! UP TO 6 WEEKS FREE!,1760,"$1,760",THE COLONY,https://dallas.craigslist.org/ndf/apa/d/the-colony-exceptional-elevated-living/7928492785.html,2026-04-18T05:46:47.050767,craigslist
UNMATCHED AMENITIES ~  UP TO 6 WEEKS FREE!,1966,"$1,966",THE COLONY,https://dallas.craigslist.org/ndf/apa/d/the-colony-unmatched-amenities-up-to/7928492728.html,2026-04-18T05:46:47.050802,craigslist
"Recycling, Covered Parking, Ceiling Fan",825,$825,"7610 Skillman St, Dallas, TX",https://dallas.craigslist.org/dal/apa/d/dallas-recycling-covered-parking/7927603324.html,2026-04-18T05:46:47.050837,craigslist
Resort-Style Living! Your Ultimate Escape!,2066,"$2,066",Farmers Branch/Las Colinas/Coppell,https://dallas.craigslist.org/ndf/apa/d/dallas-resort-style-living-your/7928492655.html,2026-04-18T05:46:47.050897,craigslist
Modern 1 Bedroom 1 Bath Townhome Ready for Move-In!,1280,"$1,280","3130 Lombardy Ln, Dallas, TX",https://dallas.craigslist.org/ndf/apa/d/dallas-modern-bedroom-bath-townhome/7928492626.html,2026-04-18T05:46:47.050936,craigslist
Your Ultimate Escape!,1508,"$1,508",Farmers Branch/Las Colinas/Coppell,https://dallas.craigslist.org/ndf/apa/d/dallas-your-ultimate-escape/7928492580.html,2026-04-18T05:46:47.050973,craigslist
High Rise ~ It’s All at Your Fingertips ~ Up to 10 Weeks FREE,3565,"$3,565",Turtle Creek/ Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-high-rise-its-all-at-your/7928492370.html,2026-04-18T05:46:47.051009,craigslist
DAZZLING HIGH-RISE ~ UP TO 10 WKS FREE,3087,"$3,087",Turtle Creek/ Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-dazzling-high-rise-up-to-10-wks/7928492317.html,2026-04-18T05:46:47.051045,craigslist
"Complimentary Amazon HUB Parcel Locker, Spacious Closets, Clubhouse",1025,"$1,025","2801 Turnberry Dr, Arlington, TX",https://dallas.craigslist.org/mdf/apa/d/arlington-complimentary-amazon-hub/7925006719.html,2026-04-18T05:46:47.051081,craigslist
The Epitome of Modern Luxury ~ 6 Weeks FREE,2313,"$2,313",WEST VILLAGE/UPTOWN/DALLAS,https://dallas.craigslist.org/dal/apa/d/dallas-the-epitome-of-modern-luxury/7928492235.html,2026-04-18T05:46:47.051117,craigslist
24/7 CONCIERGE/ STUNNING DOWNTOWN VIEWS - 6 WEEKS FREE,3462,"$3,462",WEST VILLAGE/UPTOWN/DALLAS,https://dallas.craigslist.org/dal/apa/d/dallas-24-concierge-stunning-downtown/7928492179.html,2026-04-18T05:46:47.051152,craigslist
"Separate Dining Area, Online Service requests, 1bd 1ba",1040,"$1,040","14000 Esperanza Road, Dallas, TX",https://dallas.craigslist.org/ndf/apa/d/dallas-separate-dining-area-online/7925845873.html,2026-04-18T05:46:47.051186,craigslist
THOUGHTFULLY DESIGNED ~ EVERY NEED ANTICIPATED!,4242,"$4,242",Uptown Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-thoughtfully-designed-every-need/7928491950.html,2026-04-18T05:46:47.051219,craigslist
"Cable ready, Ceiling fans, Window coverings",825,$825,"3565 Timberglen Rd, Dallas, TX",https://dallas.craigslist.org/ndf/apa/d/dallas-cable-ready-ceiling-fans-window/7922602527.html,2026-04-18T05:46:47.051253,craigslist
TIMELESS CHARM ~ ULTIMATE CONVENIENCE ~ UP TO 8 WKS FREE,1750,"$1,750",LEWISVILLE / THE COLONY / CARROLLTON,https://dallas.craigslist.org/ndf/apa/d/the-colony-timeless-charm-ultimate/7928489151.html,2026-04-18T05:46:47.051285,craigslist
"BBQ/Picnic Area, Air Conditioner, Pool",960,$960,"4328 Duck Creek Dr, Garland, TX",https://dallas.craigslist.org/mdf/apa/d/garland-bbq-picnic-area-air-conditioner/7926153937.html,2026-04-18T05:46:47.051319,craigslist
"Ceiling Fan, Window Coverings, Dishwasher",850,$850,"1400 Shady Ln, Bedford, TX",https://dallas.craigslist.org/mdf/apa/d/bedford-ceiling-fan-window-coverings/7927541236.html,2026-04-18T05:46:47.051352,craigslist
SENSATIONAL HIGH END INTERIOR FINISHES~MODERN CONVENIENCE! MONTH FREE,2465,"$2,465",MEDICAL DISTRICT / UPTOWN / OAK LAWN,https://dallas.craigslist.org/dal/apa/d/dallas-sensational-high-end-interior/7928488968.html,2026-04-18T05:46:47.051411,craigslist
"Rooftop Lounge – Vintage Building, Hardwood Floors, 1 Fitness Centers",1285,"$1,285","4123 San Jacinto St, Dallas, TX",https://dallas.craigslist.org/dal/apa/d/dallas-rooftop-lounge-vintage-building/7927821163.html,2026-04-18T05:46:47.051450,craigslist
"899!! ¡Especial de mudanza, ven a visitarnos!",1715,"$1,715","11457 Dennis Rd, Dallas, TX",https://dallas.craigslist.org/dal/apa/d/dallas-899-especial-de-mudanza-ven/7920265944.html,2026-04-18T05:46:47.051488,craigslist
House for rent,1400,"$1,400",Haltom City,https://dallas.craigslist.org/ftw/apa/d/haltom-city-house-for-rent/7926975077.html,2026-04-18T05:46:47.051525,craigslist
AMAZING PRICE! The Lifestyle You Deserve ~ Plano ISD + 2 Car Garage,2019,"$2,019",Dallas,https://dallas.craigslist.org/ndf/apa/d/dallas-amazing-price-the-lifestyle-you/7928490308.html,2026-04-18T05:46:47.051567,craigslist
Modern Indulgences ~ Intricate Details ~ Elegant Atmosphere,1955,"$1,955",North Richland Hills,https://dallas.craigslist.org/mdf/apa/d/north-richland-hills-modern-indulgences/7928490259.html,2026-04-18T05:46:47.051606,craigslist
"Spacious Closets, Smoke-Free Buildings Available, Dishwasher",950,$950,"595 S Old Orchard Ln, Lewisville, TX",https://dallas.craigslist.org/ndf/apa/d/lewisville-spacious-closets-smoke-free/7922444670.html,2026-04-18T05:46:47.051641,craigslist
"Month-to-Month Flexibility - No Lease, No Deposit, No Long Commitment!",1689,"$1,689","380 W Lyndon B Johnson Fwy, Irving, TX",https://dallas.craigslist.org/ndf/apa/d/irving-month-to-month-flexibility-no/7927875940.html,2026-04-18T05:46:47.051676,craigslist
Comfort. Convenience. + Plano ISD + 2 Car Garage,2019,"$2,019",Dallas,https://dallas.craigslist.org/ndf/apa/d/dallas-comfort-convenience-plano-isd/7928490195.html,2026-04-18T05:46:47.051711,craigslist
SENSATIONAL HIGH END INTERIOR FINISHES~MODERN CONVENIENCE! MONTH FREE,1400,"$1,400",MEDICAL DISTRICT / UPTOWN / OAK LAWN,https://dallas.craigslist.org/dal/apa/d/dallas-sensational-high-end-interior/7928487280.html,2026-04-18T05:46:47.051747,craigslist
The Height of Refined Living ~ Luxury Second Chance Leasing,1898,"$1,898",North Richland Hills,https://dallas.craigslist.org/mdf/apa/d/north-richland-hills-the-height-of/7928489999.html,2026-04-18T05:46:47.051782,craigslist
SENSATIONAL HIGH END INTERIOR FINISHES~MODERN CONVENIENCE! MONTH FREE,2465,"$2,465",MEDICAL DISTRICT / UPTOWN / OAK LAWN,https://dallas.craigslist.org/dal/apa/d/dallas-sensational-high-end-interior/7928488251.html,2026-04-18T05:46:47.051819,craigslist
"1BD 1BA, Business Center, Digital Room Key",1699,"$1,699","9020 Rasor Boulevard, Plano, TX",https://dallas.craigslist.org/ndf/apa/d/plano-1bd-1ba-business-center-digital/7927474248.html,2026-04-18T05:46:47.051866,craigslist
Discover the Luxury of Location,2125,"$2,125",Uptown/ Oaklawn/ Highland Park,https://dallas.craigslist.org/dal/apa/d/dallas-discover-the-luxury-of-location/7928489675.html,2026-04-18T05:46:47.051916,craigslist
"Get Exactly What You Want - Weekly Rates, No Deposit!",399,$399,"6801 K Ave, Plano, TX",https://dallas.craigslist.org/ndf/apa/d/plano-get-exactly-what-you-want-weekly/7921852120.html,2026-04-18T05:46:47.051954,craigslist
Discover the Exceptional ~ Live Where the Action Is,2270,"$2,270",Turtle Creek/ Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-discover-the-exceptional-live/7928489495.html,2026-04-18T05:46:47.051991,craigslist
"Hurry! Only 5 Units Left - No Deposit, No Lease",1507,"$1,507","12745 N Fwy, Fort Worth, TX",https://dallas.craigslist.org/ftw/apa/d/fort-worth-hurry-only-units-left-no/7927527986.html,2026-04-18T05:46:47.052028,craigslist
STUNNING HISTORIC ELEGANCE W/ UP TO 6 WEEKS FREE,3316,"$3,316",Uptown/ Oaklawn/ Highland Park,https://dallas.craigslist.org/dal/apa/d/dallas-stunning-historic-elegance-up-to/7928489272.html,2026-04-18T05:46:47.052063,craigslist
SUNLIT SPACES ~ HIGHLY DESIRED LOCATION,1280,"$1,280",Las Colinas/ Valley Ranch/ Coppell,https://dallas.craigslist.org/mdf/apa/d/irving-sunlit-spaces-highly-desired/7928489023.html,2026-04-18T05:46:47.052099,craigslist
PEACEFUL RETREAT ~ PREMIER NEIGHBORHOOD,1260,"$1,260",Las Colinas/ Valley Ranch/ Coppell,https://dallas.craigslist.org/mdf/apa/d/irving-peaceful-retreat-premier/7928489000.html,2026-04-18T05:46:47.052135,craigslist
1st month only $599,1300,"$1,300","2333 Escalante Ave, Fort Worth, TX",https://dallas.craigslist.org/ftw/apa/d/fort-worth-1st-month-only-599/7927596423.html,2026-04-18T05:46:47.052171,craigslist
"Energy-Efficient Appliances, Gated Community, Public Transportation",999,$999,"6603 E Lovers Ln, Dallas, TX",https://dallas.craigslist.org/dal/apa/d/dallas-energy-efficient-appliances/7925130643.html,2026-04-18T05:46:47.052206,craigslist
"Range, Controlled Access, Recycling",1097,"$1,097","7310 Marvin D. Love Fwy, Dallas, TX",https://dallas.craigslist.org/dal/apa/d/dallas-range-controlled-access-recycling/7926710533.html,2026-04-18T05:46:47.052242,craigslist
"Jogging Trails ~Walk to Bath House Cultural Center, & Dallas Arboretum",1738,"$1,738",White Rock Lake/ Tenison Park/ Dallas,https://dallas.craigslist.org/dal/apa/d/dallas-jogging-trails-walk-to-bath/7928488905.html,2026-04-18T05:46:47.052276,craigslist
